year,sido,cases,population,crude_rate
2001,강원도,0,3104814.0,0.0
2001,경기도,4,27272736.0,0.014666661973334836
2001,경상남도,0,6213004.0,0.0
2001,경상북도,1,6599486.0,0.015152695225052375
2001,광주시,0,2767530.0,0.0
2001,대구시,0,5050218.0,0.0
2001,대전시,1,2806328.0,0.035633753431530454
2001,부산시,0,7541072.0,0.0
2001,서울시,2,20526672.0,0.009743420657766635
2001,울산시,2,2111236.0,0.09473123800465699
2001,인천시,0,5129196.0,0.0
2001,전라남도,0,4198616.0,0.0
2001,전라북도,0,5257474.0,0.0
2001,제주도,0,1093778.0,0.0
2001,충청남도,0,3836274.0,0.0
2001,충청북도,0,4178048.0,0.0
2002,강원도,0,3077440.0,0.0
2002,경기도,2,29530648.0,0.006772624833698197
2002,경상남도,0,6248836.0,0.0
2002,경상북도,0,6536822.0,0.0
2002,광주시,1,2794904.0,0.03577940422998429
2002,대구시,0,5051606.0,0.0
2002,대전시,0,2839146.0,0.0
2002,부산시,0,7460250.0,0.0
2002,서울시,0,20414590.0,0.0
2002,울산시,1,2130074.0,0.046946725794502916
2002,인천시,2,5155978.0,0.03878992501519595
2002,전라남도,0,4108408.0,0.0
2002,전라북도,0,5156662.0,0.0
2002,제주도,0,1101662.0,0.0
2002,충청남도,0,3815450.0,0.0
2002,충청북도,1,4193308.0,0.023847520859426496
2003,강원도,0,3054068.0,0.0
2003,경기도,24,30334612.0,0.07911754401210076
2003,경상남도,0,6278034.0,0.0
2003,경상북도,0,6459364.0,0.0
2003,광주시,2,2791524.0,0.07164545244819676
2003,대구시,0,5059088.0,0.0
2003,대전시,1,2864592.0,0.03490898529354268
2003,부산시,0,7382890.0,0.0
2003,서울시,11,20348172.0,0.05405891005835807
2003,울산시,2,2145734.0,0.09320819822028266
2003,인천시,0,5140388.0,0.0
2003,전라남도,4,4035460.0,0.09912128976622243
2003,전라북도,0,5146498.0,0.0
2003,제주도,1,1104594.0,0.09053100053051166
2003,충청남도,0,3825606.0,0.0
2003,충청북도,0,4209580.0,0.0
2004,강원도,3,3042750.0,0.09859502095144194
2004,경기도,9,31006886.0,0.029025810589299424
2004,경상남도,1,6287628.0,0.015904248788255283
2004,경상북도,4,6406092.0,0.062440564387773394
2004,광주시,82,2802344.0,2.926121846568444
2004,대구시,1,5049424.0,0.019804239057761835
2004,대전시,1,2886942.0,0.034638728453844934
2004,부산시,0,7332690.0,0.0
2004,서울시,2,20346324.0,0.009829785468864056
2004,울산시,1,2162906.0,0.04623409431570304
2004,인천시,1,5157634.0,0.01938873522239073
2004,전라남도,2,3972384.0,0.05034759982922094
2004,전라북도,0,5058428.0,0.0
2004,제주도,1,1110724.0,0.0900313669282378
2004,충청남도,2,3906812.0,0.05119263481324415
2004,충청북도,0,4226466.0,0.0
2005,강원도,0,3026220.0,0.0
2005,경기도,5,32966668.0,0.01516683457363662
2005,경상남도,2,6320862.0,0.03164125399352177
2005,경상북도,1,6391086.0,0.01564679304894348
2005,광주시,14,2803490.0,0.499377561539367
2005,대구시,3,5022612.0,0.05972987760153482
2005,대전시,4,2909276.0,0.13749125211908392
2005,부산시,1,7276586.0,0.013742708462457532
2005,서울시,4,20334688.0,0.019670820619426273
2005,울산시,0,2175296.0,0.0
2005,인천시,3,5200990.0,0.057681326055231796
2005,전라남도,1,3934410.0,0.02541677151084915
2005,전라북도,1,5014168.0,0.01994348813202908
2005,제주도,1,1115138.0,0.08967499986548749
2005,충청남도,1,3925292.0,0.025475811735789337
2005,충청북도,0,4239484.0,0.0
2006,강원도,1,3010840.0,0.0332133225279324
2006,경기도,8,33599328.0,0.023810000009524
2006,경상남도,2,6345714.0,0.0315173359530543
2006,경상북도,3,6387170.0,0.0469691584849002
2006,광주시,2,2815596.0,0.07103291807489427
2006,대구시,0,4992230.0,0.0
2006,대전시,3,2932316.0,0.10230820961997275
2006,부산시,0,7223984.0,0.0
2006,서울시,2,20362332.0,0.00982205770930363
2006,울산시,1,2184988.0,0.045766841740091935
2006,인천시,5,5248782.0,0.09526019560347525
2006,전라남도,3,3885850.0,0.07720318591813889
2006,전라북도,0,4986428.0,0.0
2006,제주도,5,1116992.0,0.4476307798086289
2006,충청남도,1,3948866.0,0.02532372584939575
2006,충청북도,0,4242476.0,0.0
2007,강원도,0,3007612.0,0.0
2007,경기도,8,34092560.0,0.023465530309252226
2007,경상남도,4,6393906.0,0.06255956843907308
2007,경상북도,2,6373838.0,0.03137826847811319
2007,광주시,5,2826888.0,0.17687294296767328
2007,대구시,1,4986522.0,0.0200540577179846
2007,대전시,0,2951318.0,0.0
2007,부산시,1,7174878.0,0.01393751921635462
2007,서울시,5,20385420.0,0.0245273337512791
2007,울산시,0,2199990.0,0.0
2007,인천시,2,5329152.0,0.037529423067685065
2007,전라남도,4,3859672.0,0.10363574935901289
2007,전라북도,0,4972406.0,0.0
2007,제주도,3,1118516.0,0.2682125244520418
2007,충청남도,1,3991062.0,0.025055987604301812
2007,충청북도,1,4279788.0,0.02336564334495073
2008,강원도,1,3017150.0,0.033143860928359546
2008,경기도,5,34507888.0,0.014489440791044644
2008,경상남도,2,6450510.0,0.03100530035609587
2008,경상북도,5,6364100.0,0.07856570449867224
2008,광주시,10,2845404.0,0.35144394258249445
2008,대구시,3,4985448.0,0.06017513370914711
2008,대전시,2,2961790.0,0.06752673214508793
2008,부산시,2,7129154.0,0.02805381956961513
2008,서울시,7,20401654.0,0.03431094361270905
2008,울산시,0,2224814.0,0.0
2008,인천시,4,5385392.0,0.07427500170832504
2008,전라남도,2,3838000.0,0.05211047420531527
2008,전라북도,7,4974608.0,0.14071460505028738
2008,제주도,3,1121236.0,0.2675618692228933
2008,충청남도,0,5112470.0,0.0
2008,충청북도,0,4316500.0,0.0
2009,강원도,0,3025740.0,0.0
2009,경기도,12,34932620.0,0.03435184649762886
2009,경상남도,0,6500352.0,0.0
2009,경상북도,1,6358702.0,0.01572648002689857
2009,광주시,11,2867280.0,0.38363884936246195
2009,대구시,1,4979562.0,0.020082087541032728
2009,대전시,1,2968360.0,0.03368863614925413
2009,부산시,1,7086060.0,0.01411221468629958
2009,서울시,7,20416604.0,0.034285819522188905
2009,울산시,2,2229732.0,0.089696878369239
2009,인천시,1,5421158.0,0.018446243404084517
2009,전라남도,10,3826008.0,0.26136903006998413
2009,전라북도,7,4979030.0,0.14058963292046844
2009,제주도,2,1125326.0,0.17772627665227678
2009,충청남도,1,5156828.0,0.01939176563577455
2009,충청북도,1,4341278.0,0.023034691627672774
2010,강원도,0,3119407.0,0.0
2010,경기도,6,36135655.0,0.016604099192335107
2010,경상남도,0,8878861.0,0.0
2010,경상북도,2,6532892.0,0.03061431292603643
2010,광주시,9,2941745.0,0.3059408616314466
2010,대구시,0,5077406.0,0.0
2010,대전시,1,3039256.0,0.03290278936687137
2010,부산시,2,7221133.0,0.027696484748307503
2010,서울시,26,20861458.0,0.12463174913277875
2010,울산시,0,2270324.0,0.0
2010,인천시,1,5576951.0,0.01793094470437341
2010,전라남도,0,3932996.0,0.0
2010,전라북도,0,5112530.0,0.0
2010,제주도,3,1162759.0,0.258007033271727
2010,충청남도,0,5360415.0,0.0
2010,충청북도,2,4476049.0,0.04468226330855627
2011,강원도,0,3072896.0,0.0
2011,경기도,11,36132380.0,0.030443607644998753
2011,경상남도,2,8801292.0,0.02272393644024082
2011,경상북도,3,6432566.0,0.04663768704433036
2011,광주시,4,2926928.0,0.13666205659995737
2011,대구시,6,5014542.0,0.11965200411124287
2011,대전시,1,3031206.0,0.03299016958926579
2011,부산시,1,7101926.0,0.014080687407894704
2011,서울시,13,20499358.0,0.06341662016927554
2011,울산시,4,2270988.0,0.17613479243395386
2011,인천시,3,5602548.0,0.05354706465700963
2011,전라남도,5,3828678.0,0.13059337975144422
2011,전라북도,0,5039850.0,0.0
2011,제주도,1,1152312.0,0.08678205208311637
2011,충청남도,16,5345322.0,0.2993271499827326
2011,충청북도,0,4449698.0,0.0
2012,강원도,1,3077260.0,0.03249644163964046
2012,경기도,4,36549022.0,0.01094420529227841
2012,경상남도,2,8821570.0,0.022671701295801087
2012,경상북도,1,6434532.0,0.015541145805165007
2012,광주시,10,2938432.0,0.3403175571188988
2012,대구시,12,5011288.0,0.23945939646653716
2012,대전시,0,3049166.0,0.0
2012,부산시,2,7076968.0,0.02826069017127109
2012,서울시,9,20390636.0,0.044137907223688364
2012,울산시,3,2294512.0,0.13074675573716765
2012,인천시,5,5687962.0,0.08790494732559746
2012,전라남도,5,3819236.0,0.13091623560314158
2012,전라북도,0,5044408.0,0.0
2012,제주도,1,1167426.0,0.08565853424542541
2012,충청남도,2,5221530.0,0.03830294951862768
2012,충청북도,1,4464960.0,0.022396617214935854
2013,강원도,0,3084526.0,0.0
2013,경기도,3,36959264.0,0.00811704475500378
2013,경상남도,0,8835102.0,0.0
2013,경상북도,2,6437814.0,0.031066445846369587
2013,광주시,11,2945820.0,0.3734104595664365
2013,대구시,4,5003176.0,0.07994921625783302
2013,대전시,0,3065622.0,0.0
2013,부산시,6,7055270.0,0.08504281196892535
2013,서울시,10,20287290.0,0.04929194584392494
2013,울산시,7,2312960.0,0.30264250138350857
2013,인천시,8,5759564.0,0.13889940280201765
2013,전라남도,7,3814344.0,0.18351779493406992
2013,전라북도,1,5046094.0,0.019817308199173458
2013,제주도,1,1187612.0,0.08420258468253941
2013,충청남도,1,5277440.0,0.018948581130244967
2013,충청북도,0,4491272.0,0.0
2014,강원도,0,3088884.0,0.0
2014,경기도,10,37276234.0,0.026826744354056794
2014,경상남도,2,8850850.0,0.02259669975200122
2014,경상북도,0,6440324.0,0.0
2014,광주시,9,2951768.0,0.3049020112691783
2014,대구시,27,4986528.0,0.541458906878694
2014,대전시,3,3063618.0,0.09792343562415418
2014,부산시,3,7038802.0,0.042620889179721205
2014,서울시,16,20206466.0,0.07918257452837126
2014,울산시,14,2332754.0,0.6001490084252348
2014,인천시,12,5805216.0,0.20671065469398553
2014,전라남도,8,3811560.0,0.20988781496290235
2014,전라북도,0,5048874.0,0.0
2014,제주도,5,1214692.0,0.4116269803374024
2014,충청남도,2,5321238.0,0.037585238623042236
2014,충청북도,0,4820908.0,0.0
2015,강원도,0,3099014.0,0.0
2015,경기도,5,37653214.0,0.013279078912094995
2015,경상남도,4,8869532.0,0.045098208112897054
2015,경상북도,3,6444820.0,0.046549011454160086
2015,광주시,34,2944398.0,1.1547351954457243
2015,대구시,0,4975658.0,0.0
2015,대전시,1,3037550.0,0.032921268785699
2015,부산시,2,7027554.0,0.028459404225140067
2015,서울시,6,20044362.0,0.02993360427236347
2015,울산시,0,2347068.0,0.0
2015,인천시,1,5851630.0,0.017089255472406834
2015,전라남도,6,3817992.0,0.15715066977615458
2015,전라북도,0,5043986.0,0.0
2015,제주도,4,1248790.0,0.3203100601382138
2015,충청남도,1,5366850.0,0.01863290384489971
2015,충청북도,3,4831728.0,0.06208958782448019
2016,강원도,1,3101612.0,0.032241299040627905
2016,경기도,21,36406968.0,0.05768126584998784
2016,경상남도,4,8875556.0,0.04506759914533805
2016,경상북도,2,6434346.0,0.031083190117534867
2016,광주시,11,2938428.0,0.37434982242205694
2016,대구시,4,4969114.0,0.0804972475978615
2016,대전시,3,3028740.0,0.09905109055250698
2016,부산시,4,6997058.0,0.05716688356735073
2016,서울시,12,19861232.0,0.06041921266515591
2016,울산시,6,2344608.0,0.25590631781517426
2016,인천시,13,5886138.0,0.22085788678416987
2016,전라남도,6,3807828.0,0.1575701423488666
2016,전라북도,4,5033070.0,0.0794743566054118
2016,제주도,6,1283194.0,0.46758323371212773
2016,충청남도,4,5429364.0,0.07367345420200229
2016,충청북도,3,4853644.0,0.06180923034322253
2017,강원도,11,3100284.0,0.35480620485091047
2017,경기도,42,36711142.0,0.11440668339873492
2017,경상남도,5,8874872.0,0.05633884071792811
2017,경상북도,4,6411076.0,0.06239202280553218
2017,광주시,14,2927540.0,0.4782172062550811
2017,대구시,6,4950462.0,0.1212008091366018
2017,대전시,3,3004454.0,0.09985175343007414
2017,부산시,3,6941306.0,0.04321953246262303
2017,서울시,19,19714852.0,0.09637404328472768
2017,울산시,3,2330264.0,0.12874077786894533
2017,인천시,8,5897084.0,0.13566026870229422
2017,전라남도,7,3792848.0,0.18455788368002093
2017,전라북도,3,5007142.0,0.059914418244978875
2017,제주도,4,1314166.0,0.3043755507295121
2017,충청남도,1,5496602.0,0.018193058183947102
2017,충청북도,3,4860044.0,0.06172783620889029
2018,강원도,4,3086104.0,0.12961325995494644
2018,경기도,11,37098310.0,0.029650946363864013
2018,경상남도,6,8855178.0,0.06775696660191359
2018,경상북도,7,6373688.0,0.10982652429802024
2018,광주시,12,2918672.0,0.4111458910079653
2018,대구시,10,4923538.0,0.20310597785576143
2018,대전시,3,2979872.0,0.10067546525488343
2018,부산시,5,6882906.0,0.07264373507352853
2018,서울시,20,19531246.0,0.1024000209715243
2018,울산시,6,2311246.0,0.2596002329479424
2018,인천시,12,5909284.0,0.20307028736476362
2018,전라남도,6,3765940.0,0.15932277200380252
2018,전라북도,2,4975846.0,0.0401941699964187
2018,제주도,8,1334382.0,0.5995284708576704
2018,충청남도,6,5544714.0,0.10821117193781321
2018,충청북도,3,4874002.0,0.0615510621456454
2019,강원도,4,3083004.0,0.12974358774753456
2019,경기도,29,37441554.0,0.07745405011768475
2019,경상남도,4,8814586.0,0.04537932921636932
2019,경상북도,6,6345722.0,0.0945518886582173
2019,광주시,9,2912936.0,0.3089666233655666
2019,대구시,5,4876062.0,0.10254176423515535
2019,대전시,2,2949740.0,0.06780258599062967
2019,부산시,3,6827682.0,0.043938777465031324
2019,서울시,31,19458214.0,0.1593157522062405
2019,울산시,6,2296038.0,0.26131971683395483
2019,인천시,12,5914052.0,0.20290656896489923
2019,전라남도,13,3737490.0,0.3478270175973715
2019,전라북도,5,4946622.0,0.10107907982457524
2019,제주도,3,1341978.0,0.22355060962251244
2019,충청남도,4,5551934.0,0.07204696597618056
2019,충청북도,7,4879146.0,0.14346772980353528
2020,강원도,6,3085680.0,0.19444660496227736
2020,경기도,131,37822980.0,0.3463502875764945
2020,경상남도,6,8753908.0,0.06854081628456685
2020,경상북도,15,6284676.0,0.23867578853707017
2020,광주시,18,2900124.0,0.6206631164736405
2020,대구시,8,4836692.0,0.16540230388869087
2020,대전시,8,2927764.0,0.273246067647529
2020,부산시,6,6783892.0,0.08844480425101107
2020,서울시,21,19336930.0,0.10860048621989116
2020,울산시,6,2272034.0,0.26408055513253764
2020,인천시,6,5885656.0,0.1019427571030315
2020,전라남도,12,3703098.0,0.3240529956269048
2020,전라북도,2,4923072.0,0.040625040625040625
2020,제주도,13,1349270.0,0.9634839579920994
2020,충청남도,7,5559674.0,0.1259066628726792
2020,충청북도,3,4891660.0,0.06132887404275849
2021,강원도,4,3076984.0,0.1299974260509642
2021,경기도,18,38073754.0,0.04727666202812573
2021,경상남도,6,8693848.0,0.069014319090925
2021,경상북도,8,6260922.0,0.12777670764785123
2021,광주시,36,2883222.0,1.2486031252536225
2021,대구시,8,4770824.0,0.16768591756895665
2021,대전시,7,2904502.0,0.24100517059378854
2021,부산시,7,6700760.0,0.10446576209265815
2021,서울시,25,19018916.0,0.13144808042687606
2021,울산시,6,2243184.0,0.26747694348747136
2021,인천시,9,5896750.0,0.15262644677152667
2021,전라남도,14,3665606.0,0.38192866336425685
2021,전라북도,3,4888248.0,0.061371681633174094
2021,제주도,4,1353518.0,0.29552617696994055
2021,충청남도,2,5555486.0,0.036000450725643084
2021,충청북도,4,4891818.0,0.08176919092247503
2022,강원도,6,3072996.0,0.1952491965495562
2022,경기도,34,38088616.0,0.08926551702482442
2022,경상남도,12,8603960.0,0.1394706623461755
2022,경상북도,13,6194284.0,0.20987090679084136
2022,광주시,38,2862100.0,1.327696446665036
2022,대구시,7,4727382.0,0.14807350030101227
2022,대전시,5,2892144.0,0.172882124818128
2022,부산시,9,6635624.0,0.13563155477163866
2022,서울시,30,18856744.0,0.15909427417585986
2022,울산시,3,2221326.0,0.13505446746672933
2022,인천시,11,5934628.0,0.18535281402642256
2022,전라남도,12,3635394.0,0.3300880179699917
2022,전라북도,9,4842204.0,0.18586577517180192
2022,제주도,9,1356318.0,0.6635612002494989
2022,충청남도,9,5561192.0,0.16183580786277474
2022,충청북도,3,4889262.0,0.061358953559862414
2023,강원도,11,3055614.0,0.3599931143135226
2023,경기도,43,38144532.0,0.11272913244813175
2023,경상남도,15,8570188.0,0.1750253319997181
2023,경상북도,17,6094714.0,0.2789302336418083
2023,광주시,21,2838474.0,0.7398341503216165
2023,대구시,9,4749920.0,0.18947687540000674
2023,대전시,8,2884432.0,0.27735096545871074
2023,부산시,6,6586724.0,0.09109232450000941
2023,서울시,30,18772068.0,0.15981190777702275
2023,울산시,2,2207322.0,0.09060753256661239
2023,인천시,8,5994820.0,0.13344854390957528
2023,전라남도,10,3608434.0,0.27712852722261233
2023,전라북도,14,4794968.0,0.2919727514344204
2023,제주도,5,1350504.0,0.3702321503675665
2023,충청남도,10,5572156.0,0.17946374796398376
2023,충청북도,4,4891316.0,0.08177758296540236
2024,강원도,7,3035532.0,0.2306020822709166
2024,경기도,50,39807344.0,0.12560496374739294
2024,경상남도,21,8456476.0,0.24833039199780146
2024,경상북도,18,6045930.0,0.2977209461571669
2024,광주시,32,2816844.0,1.136023152151841
2024,대구시,25,4727258.0,0.5288478014104583
2024,대전시,12,2878314.0,0.4169107331583698
2024,부산시,9,6533196.0,0.1377579977701572
2024,서울시,44,18663656.0,0.23575230919386855
2024,울산시,4,2196098.0,0.18214123413436012
2024,인천시,14,6042020.0,0.23171058685671347
2024,전라남도,10,3577638.0,0.27951402573429734
2024,전라북도,5,4748682.0,0.10529237375760264
2024,제주도,7,1340736.0,0.5221012936178338
2024,충청남도,12,5592988.0,0.21455436700382693
2024,충청북도,3,4891428.0,0.06133178286586249
